month,tech,trend
2008-04-01,bitcoin,0
2008-04-01,cryptocurrency,0
2008-04-01,x3d_printer,2.75
2008-04-01,x5g,1.25
2008-04-01,cloud_computing,6.75
2008-04-01,speech_recognition,92.5
2008-05-01,bitcoin,0
2008-05-01,cryptocurrency,0
2008-05-01,x3d_printer,2.5
2008-05-01,x5g,1.25
2008-05-01,cloud_computing,8.5
2008-05-01,speech_recognition,93
2008-06-01,bitcoin,0
2008-06-01,cryptocurrency,0
2008-06-01,x3d_printer,2.5
2008-06-01,x5g,1.25
2008-06-01,cloud_computing,9.75
2008-06-01,speech_recognition,89.5
2008-07-01,bitcoin,0
2008-07-01,cryptocurrency,0
2008-07-01,x3d_printer,2.5
2008-07-01,x5g,1
2008-07-01,cloud_computing,13.25
2008-07-01,speech_recognition,87.75
2008-08-01,bitcoin,0
2008-08-01,cryptocurrency,0
2008-08-01,x3d_printer,2.5
2008-08-01,x5g,1
2008-08-01,cloud_computing,16.5
2008-08-01,speech_recognition,90.25
2008-09-01,bitcoin,0
2008-09-01,cryptocurrency,0
2008-09-01,x3d_printer,2
2008-09-01,x5g,1
2008-09-01,cloud_computing,19.5
2008-09-01,speech_recognition,89.5
2008-10-01,bitcoin,0
2008-10-01,cryptocurrency,0
2008-10-01,x3d_printer,2
2008-10-01,x5g,1.25
2008-10-01,cloud_computing,25.75
2008-10-01,speech_recognition,86.25
2008-11-01,bitcoin,0
2008-11-01,cryptocurrency,0
2008-11-01,x3d_printer,2
2008-11-01,x5g,1.25
2008-11-01,cloud_computing,29.5
2008-11-01,speech_recognition,86.5
2008-12-01,bitcoin,0
2008-12-01,cryptocurrency,0
2008-12-01,x3d_printer,2
2008-12-01,x5g,1.25
2008-12-01,cloud_computing,31
2008-12-01,speech_recognition,87
2009-01-01,bitcoin,0
2009-01-01,cryptocurrency,0
2009-01-01,x3d_printer,2.25
2009-01-01,x5g,1.25
2009-01-01,cloud_computing,33.75
2009-01-01,speech_recognition,87.25
2009-02-01,bitcoin,0
2009-02-01,cryptocurrency,0
2009-02-01,x3d_printer,2.25
2009-02-01,x5g,1
2009-02-01,cloud_computing,33.75
2009-02-01,speech_recognition,91.25
2009-03-01,bitcoin,0
2009-03-01,cryptocurrency,0
2009-03-01,x3d_printer,2
2009-03-01,x5g,1
2009-03-01,cloud_computing,38.25
2009-03-01,speech_recognition,92
2009-04-01,bitcoin,0
2009-04-01,cryptocurrency,0
2009-04-01,x3d_printer,2
2009-04-01,x5g,1
2009-04-01,cloud_computing,44.25
2009-04-01,speech_recognition,92
2009-05-01,bitcoin,0
2009-05-01,cryptocurrency,0
2009-05-01,x3d_printer,2
2009-05-01,x5g,1
2009-05-01,cloud_computing,47.75
2009-05-01,speech_recognition,90.5
2009-06-01,bitcoin,0
2009-06-01,cryptocurrency,0
2009-06-01,x3d_printer,2
2009-06-01,x5g,1
2009-06-01,cloud_computing,50.25
2009-06-01,speech_recognition,87.25
2009-07-01,bitcoin,0
2009-07-01,cryptocurrency,0
2009-07-01,x3d_printer,2.25
2009-07-01,x5g,1
2009-07-01,cloud_computing,49.5
2009-07-01,speech_recognition,84.5
2009-08-01,bitcoin,0
2009-08-01,cryptocurrency,0
2009-08-01,x3d_printer,2.5
2009-08-01,x5g,1
2009-08-01,cloud_computing,49.25
2009-08-01,speech_recognition,80
2009-09-01,bitcoin,0
2009-09-01,cryptocurrency,0
2009-09-01,x3d_printer,3
2009-09-01,x5g,1.25
2009-09-01,cloud_computing,52.5
2009-09-01,speech_recognition,80.25
2009-10-01,bitcoin,0
2009-10-01,cryptocurrency,0
2009-10-01,x3d_printer,2.5
2009-10-01,x5g,1.5
2009-10-01,cloud_computing,56.75
2009-10-01,speech_recognition,83.75
2009-11-01,bitcoin,0
2009-11-01,cryptocurrency,0
2009-11-01,x3d_printer,3
2009-11-01,x5g,1.75
2009-11-01,cloud_computing,62.5
2009-11-01,speech_recognition,84.25
2009-12-01,bitcoin,0
2009-12-01,cryptocurrency,0
2009-12-01,x3d_printer,2.75
2009-12-01,x5g,2
2009-12-01,cloud_computing,64.25
2009-12-01,speech_recognition,88.75
2010-01-01,bitcoin,0
2010-01-01,cryptocurrency,0
2010-01-01,x3d_printer,2.25
2010-01-01,x5g,2
2010-01-01,cloud_computing,65
2010-01-01,speech_recognition,89
2010-02-01,bitcoin,0
2010-02-01,cryptocurrency,0
2010-02-01,x3d_printer,3
2010-02-01,x5g,2
2010-02-01,cloud_computing,67
2010-02-01,speech_recognition,87
2010-03-01,bitcoin,0
2010-03-01,cryptocurrency,0
2010-03-01,x3d_printer,2.75
2010-03-01,x5g,2
2010-03-01,cloud_computing,67.75
2010-03-01,speech_recognition,86.5
2010-04-01,bitcoin,0
2010-04-01,cryptocurrency,0
2010-04-01,x3d_printer,3
2010-04-01,x5g,2
2010-04-01,cloud_computing,69.75
2010-04-01,speech_recognition,82.5
2010-05-01,bitcoin,0
2010-05-01,cryptocurrency,0
2010-05-01,x3d_printer,3.75
2010-05-01,x5g,2
2010-05-01,cloud_computing,72
2010-05-01,speech_recognition,81.5
2010-06-01,bitcoin,0
2010-06-01,cryptocurrency,0
2010-06-01,x3d_printer,3.5
2010-06-01,x5g,2
2010-06-01,cloud_computing,71.25
2010-06-01,speech_recognition,82.25
2010-07-01,bitcoin,0
2010-07-01,cryptocurrency,0
2010-07-01,x3d_printer,3.5
2010-07-01,x5g,2
2010-07-01,cloud_computing,68.75
2010-07-01,speech_recognition,77.25
2010-08-01,bitcoin,0
2010-08-01,cryptocurrency,0
2010-08-01,x3d_printer,3.75
2010-08-01,x5g,2.25
2010-08-01,cloud_computing,70.25
2010-08-01,speech_recognition,74.75
2010-09-01,bitcoin,0
2010-09-01,cryptocurrency,0
2010-09-01,x3d_printer,3.75
2010-09-01,x5g,2.25
2010-09-01,cloud_computing,72.5
2010-09-01,speech_recognition,71.5
2010-10-01,bitcoin,0
2010-10-01,cryptocurrency,0
2010-10-01,x3d_printer,4
2010-10-01,x5g,2.25
2010-10-01,cloud_computing,77.75
2010-10-01,speech_recognition,66.25
2010-11-01,bitcoin,0
2010-11-01,cryptocurrency,0
2010-11-01,x3d_printer,4.75
2010-11-01,x5g,2.25
2010-11-01,cloud_computing,84.5
2010-11-01,speech_recognition,69
